Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0.05099796,-0.099349149,-0.023306124,0.099742755
0.05116462,-0.09627229,-0.035873313,0.108427413
0.05133128,-0.092805594,-0.048245471,0.116619147
0.05149794,-0.088975832,-0.060367156,0.124292195
0.0516646,-0.084811702,-0.072185881,0.131425232
0.05183126,-0.080342561,-0.083652608,0.138000771
0.05199792,-0.075597852,-0.094722047,0.144004852
0.05216458,-0.070606872,-0.105352819,0.149426937
0.05233124,-0.065398231,-0.115507402,0.15425922
0.0524979,-0.059998967,-0.125152379,0.158496007
0.05266456,-0.054434538,-0.134258404,0.162133783
0.05283122,-0.048728619,-0.142799765,0.165170416
0.05299788,-0.042902652,-0.150754198,0.167604685
0.05316454,-0.036976054,-0.158102751,0.169436067
0.0533312,-0.030966183,-0.164829224,0.170664311
0.05349786,-0.024888383,-0.170919716,0.171289116
0.05366452,-0.018756788,-0.176362872,0.171311036
0.05383118,-0.012583668,-0.181148589,0.170729503
0.05399784,-0.006380056,-0.185267255,0.169542864
0.0541645,-1.56E-04,-0.188710764,0.167749956
0.05433116,0.006076608,-0.191471234,0.165349439
0.05449782,0.012308125,-0.19354175,0.162341163
0.05466448,0.018526338,-0.194915831,0.158725694
0.05483114,0.024718242,-0.195587069,0.154504463
0.0549978,0.030869141,-0.195549682,0.149681047
0.05516446,0.036962595,-0.194798648,0.144261256
0.05533112,0.042980168,-0.193329439,0.138252989
0.05549778,0.048901185,-0.19113861,0.131667361
0.05566444,0.054702893,-0.188224405,0.124518998
0.0558311,0.060360279,-0.18458648,0.116826147
0.05599776,0.065846331,-0.180226699,0.108611025
0.05616442,0.071132369,-0.175149575,0.099900231
0.05633108,0.076188371,-0.169362754,0.090724535
0.05649774,0.080984153,-0.162878692,0.081119932
0.0566644,0.085488111,-0.155711383,0.071125425
0.05683106,0.089668714,-0.147879049,0.060784038
0.05699772,0.093495652,-0.139405116,0.050142899
0.05716438,0.096939936,-0.130317211,0.039252229
0.05733104,0.099974461,-0.120647773,0.028165128
0.0574977,0.102575116,-0.110434264,0.016937109
0.05766436,0.104720883,-0.099718906,0.005625294
0.05783102,0.106394164,-0.088548064,-0.005712228
0.05799768,0.107581489,-0.076972127,-0.017017258
0.05816434,0.108273909,-0.065045081,-0.028232215
0.058331,0.108466633,-0.052823909,-0.039300632
0.05849766,0.108159423,-0.04036792,-0.050167996
0.05866432,0.107356742,-0.027738394,-0.060782257
0.05883098,0.10606724,-0.014997751,-0.071094148
0.05899764,0.104303658,-0.002208813,-0.081057817
0.0591643,0.102083348,0.010565303,-0.090631537
0.05933096,0.099426545,0.023262599,-0.099777356
0.05949762,0.096355461,0.03582314,-0.108460903
0.05966428,0.092895105,0.04818894,-0.116652422
0.05983094,0.089072101,0.060304709,-0.124326058
0.0599976,0.084915012,0.072118007,-0.131460503
0.06016426,0.080453128,0.08357992,-0.138038307
0.06033092,0.075715758,0.09464518,-0.144045398
0.06049758,0.070732184,0.105272442,-0.149471149
0.06066424,0.065530866,0.115424246,-0.154307798
0.0608309,0.060138755,0.125067204,-0.158549592
0.06099756,0.054581258,0.134172052,-0.16219303
